col_0,col_1,col_2,col_3,col_4,col_5
1,26,5,0,4,1
1,25,29,17,8,4
2,21,0,0,0,0
2,17,23,12,6,5
2,18,21,13,3,5
1,20,3,0,1,2
2,22,12,6,3,3
1,21,15,9,4,2
2,18,27,15,9,3
1,27,4,2,1,1
2,18,1,1,0,0
2,19,20,10,6,4
1,25,17,10,3,4
1,21,25,13,8,4
2,51,16,6,6,4
2,22,22,13,7,2
2,33,12,5,5,2
2,22,10,5,3,2
1,19,6,4,1,1
2,24,0,0,0,0
2,18,16,11,2,3
2,22,23,12,9,2
1,19,24,12,8,4
2,21,11,7,4,0
2,25,21,10,8,3
1,20,13,7,3,3
1,30,9,5,1,3
2,22,27,17,7,3
1,22,3,3,0,0
1,25,9,5,3,1
2,30,21,10,7,4
1,22,17,6,8,3
1,31,9,4,4,1
1,17,20,14,3,3
1,22,7,3,2,2
1,24,15,7,5,3
2,22,10,8,2,0
2,25,31,12,14,5
2,30,23,15,5,3
1,21,14,8,3,3
1,18,13,5,7,1
1,17,5,4,1,0
1,17,5,4,1,0
1,18,14,11,2,1
1,17,12,8,3,1
1,17,10,7,2,1
2,18,19,14,4,1
1,18,4,1,1,2
1,17,11,8,3,0
1,18,17,7,8,2
1,18,4,3,1,0
1,18,4,2,2,0
1,18,8,4,3,1
1,18,19,13,5,1
1,17,9,2,4,3
1,18,6,0,6,0
1,18,22,10,8,4
1,17,6,4,2,0
1,17,20,11,6,3
1,17,2,2,0,0
1,18,20,12,6,2
1,18,10,7,1,2
1,18,26,13,7,6
1,17,10,4,5,1
1,18,4,3,1,0
1,18,23,11,5,7
1,18,10,3,6,1
1,18,13,8,4,1
1,18,25,12,10,3
1,18,29,18,9,2
1,17,15,6,6,3
1,18,3,2,0,1
1,17,17,8,7,2
1,18,3,3,0,0
1,31,8,4,3,1
2,19,23,9,12,2
1,18,12,7,4,1
2,20,24,14,6,4
2,18,12,7,4,1
2,18,17,11,4,2
1,18,15,7,6,2
1,21,7,1,4,2
2,20,13,6,5,2
2,18,13,8,4,1
2,19,8,3,4,1
1,22,13,8,3,2
1,21,22,11,7,4
2,18,16,8,5,3
2,19,26,15,8,3
2,18,29,17,6,6
1,19,24,12,9,3
2,18,41,21,14,6
2,37,5,3,0,2
1,31,8,4,4,0
1,19,21,8,8,5
1,36,5,3,1,1
2,18,26,16,7,3
2,18,27,16,6,5
1,27,43,22,12,9
2,19,10,5,5,0
1,18,1,0,0,1
1,18,20,10,9,1
2,19,22,14,7,1
1,18,1,1,0,0
1,18,9,5,0,4
1,19,18,12,5,1
2,17,11,3,6,2
1,19,21,13,5,3
1,18,9,3,5,1
2,43,13,12,1,0
2,26,30,22,4,4
1,40,9,6,2,1
1,23,19,12,5,2
2,39,4,3,0,1
1,43,7,1,3,3
2,35,14,4,8,2
2,32,19,9,7,3
1,40,1,1,0,0
2,31,18,10,5,3
2,30,21,12,6,3
2,44,14,7,6,1
2,37,28,14,9,5
2,34,18,5,10,3
2,37,20,14,4,2
2,37,21,14,5,2
2,48,14,12,1,1
2,33,24,14,5,5
2,42,22,18,2,2
1,19,12,9,2,1
1,46,14,7,5,2
1,39,15,12,2,1
2,24,5,3,2,0
2,30,22,10,8,4
1,18,7,6,0,1
1,18,6,6,0,0
2,30,15,7,5,3
2,23,16,13,2,1
2,33,23,10,9,4
2,37,14,4,6,4
2,33,10,5,3,2
2,19,10,5,4,1
1,41,26,8,10,8
1,41,4,2,0,2
1,43,10,2,5,3
1,26,17,12,4,1
1,34,20,10,7,3
1,26,9,7,0,2
1,36,3,0,2,1
1,43,27,15,9,3
2,32,14,4,8,2
1,34,15,8,5,2
1,28,9,3,5,1
1,27,17,6,10,1
2,32,12,8,2,2
1,27,21,13,5,3
1,33,28,18,7,3
1,27,11,8,3,0
1,35,3,0,2,1
1,29,3,2,1,0
1,32,23,14,5,4
1,44,10,5,4,1
1,30,7,1,3,3
1,28,28,16,9,3
2,29,26,14,8,4
2,28,13,10,2,1
1,30,0,0,0,0
1,30,22,17,4,1
1,28,4,2,1,1
2,29,25,14,7,4
2,18,16,9,6,1
1,35,19,10,6,3
1,34,15,7,5,3
1,33,17,11,5,1
1,38,8,5,2,1
1,30,7,4,1,2
1,19,9,8,0,1
2,18,10,5,3,2
2,18,18,10,5,3
2,28,5,5,0,0
2,21,37,22,10,5
2,62,19,8,8,3
2,19,38,17,12,9
2,16,21,15,6,0
2,19,19,6,10,3
1,17,2,1,1,0
2,19,25,15,7,3
1,19,22,9,8,5
1,18,9,4,4,1
2,20,11,3,6,2
2,19,20,12,5,3
2,19,25,16,5,4
2,19,4,3,1,0
2,20,15,11,3,1
2,20,20,13,4,3
2,20,17,6,10,1
2,21,29,20,5,4
2,21,19,7,10,2
1,21,8,3,1,4
1,20,23,14,6,3
2,18,28,19,6,3
2,19,21,12,8,1
1,21,6,4,2,0
2,20,32,19,10,3
1,19,11,6,3,2
2,20,14,7,6,1
2,20,30,17,9,4
2,20,30,13,11,6
2,19,15,6,5,4
2,17,19,9,5,5
2,18,17,6,7,4
1,18,20,8,9,3
2,19,29,20,7,2
1,18,15,8,7,0
1,19,15,10,4,1
2,18,17,13,2,2
2,20,32,20,7,5
1,18,11,5,5,1
1,19,9,5,4,0
2,19,27,17,7,3
2,19,18,8,7,3
2,38,19,12,6,1
2,18,23,15,5,3
1,18,23,14,5,4
1,19,10,10,0,0
2,18,22,12,9,1
2,19,24,12,8,4
2,29,10,4,6,0
2,19,16,6,7,3
1,19,14,9,3,2
2,19,23,12,7,4
1,19,10,3,3,4
2,19,18,12,6,0
2,18,7,5,2,0
2,18,21,12,8,1
2,18,15,10,3,2
2,44,8,7,1,0
2,18,27,19,2,6
1,17,16,14,1,1
1,18,14,8,5,1
2,19,18,11,5,2
1,19,26,13,8,5
2,19,15,5,5,5
1,20,15,8,5,2
1,20,14,11,2,1
1,51,16,8,5,3
2,18,12,9,2,1
1,19,5,4,1,0
1,24,2,2,0,0
2,19,30,19,7,4
1,21,20,13,5,2
2,18,22,14,5,3
2,47,14,5,7,2
2,21,25,12,11,2
1,40,8,3,4,1
1,19,9,2,4,3
1,20,9,6,1,2
1,20,24,13,8,3
1,16,14,10,1,3
2,21,4,2,1,1
2,36,16,4,7,5
2,36,23,12,7,4
1,41,10,8,1,1
1,27,27,12,12,3
2,20,19,11,7,1
2,37,9,9,0,0
2,18,34,22,8,4
2,18,13,11,2,0
2,37,7,3,4,0
1,19,15,9,5,1
2,17,19,8,7,4
2,21,16,11,2,3
1,19,30,18,8,4
2,19,18,8,9,1
2,38,3,3,0,0
1,20,21,12,6,3
2,22,24,13,7,4
2,22,19,9,8,2
1,25,7,1,4,2
2,21,35,20,11,4
1,21,5,1,2,2
1,18,7,4,3,0
1,18,3,3,0,0
1,17,14,11,3,0
1,18,0,0,0,0
1,18,15,5,7,3
1,18,16,12,3,1
1,18,13,11,1,1
1,18,10,6,4,0
2,39,5,4,1,0
1,20,16,14,1,1
2,19,22,11,7,4
2,18,0,0,0,0
2,31,26,16,7,3
2,33,13,10,1,2
1,30,2,2,0,0
2,31,19,9,6,4
2,30,7,3,3,1
2,46,5,2,2,1
1,38,9,7,2,0
1,34,19,7,10,2
